date,open,high,low,close,adj_close,volume,div,split
2009-10-01,37.189999,38.880001,35.380001,35.919998,27.661198,20665200,,
2009-11-01,36.049999,38.950001,35.650002,37.910000,29.193665,16381000,,
2009-12-01,38.389999,40.220001,38.000000,39.529999,30.441191,14713100,,
2010-01-01,39.910000,41.099998,38.139999,38.220001,29.528156,18714600,,
2010-02-01,38.389999,40.139999,37.130001,39.820000,30.764301,16576000,,
2010-03-01,39.980000,42.860001,39.980000,42.570000,32.888897,23603800,,
2010-04-01,42.900002,45.290001,42.650002,43.700001,33.861507,19174500,,
2010-05-01,43.820000,44.439999,18.000000,40.480000,31.366436,39446300,,
2010-06-01,40.000000,41.970001,37.709999,37.799999,29.289825,43541100,,
2010-07-01,37.799999,41.580002,36.959999,40.580002,31.549562,26107100,,
2010-08-01,41.259998,41.599998,38.119999,38.650002,30.049057,23275600,,
2010-09-01,39.220001,43.000000,39.189999,42.380001,32.948990,21274600,,
2010-10-01,42.720001,44.360001,41.910000,43.889999,34.290260,17113900,,
2010-11-01,44.020000,45.599998,43.520000,44.250000,34.571522,13974700,,
2010-12-01,44.849998,47.430000,44.849998,47.310001,36.962231,30358000,,
2011-01-01,47.720001,48.959999,47.220001,48.310001,37.849564,16090400,,
2011-02-01,48.630001,51.049999,48.580002,50.250000,39.369480,30048300,,
2011-03-01,50.500000,50.570000,47.560001,50.459999,39.534031,24301500,,
2011-04-01,50.799999,52.080002,49.490002,52.040001,40.941021,14326300,,
2011-05-01,52.279999,52.330002,50.290001,51.720001,40.689262,12638900,,
2011-06-01,51.660000,51.660000,48.060001,50.619999,39.823883,23066000,,
2011-07-01,50.650002,52.040001,48.270000,48.790001,38.511387,20385400,,
2011-08-01,49.660000,49.660000,40.700001,45.689999,36.064449,50978900,,
2011-09-01,45.660000,46.080002,40.930000,41.400002,32.678249,26805100,,
2011-10-01,41.080002,48.400002,39.029999,46.810001,37.087662,41924600,,
2011-11-01,45.450001,47.779999,42.070000,46.400002,36.762810,30386600,,
2011-12-01,46.389999,47.290001,44.049999,46.279999,36.667732,15340700,,
2012-01-01,47.139999,49.869999,46.419998,48.910000,38.912872,14779900,,
2012-02-01,49.320000,51.400002,49.259998,50.869999,40.472244,10961200,,
2012-03-01,51.029999,52.480000,49.630001,51.869999,41.267838,10786000,,
2012-04-01,51.820000,52.450001,49.689999,51.480000,41.100037,15237900,,
2012-05-01,51.480000,52.160000,47.009998,47.880001,38.225925,16195500,,
2012-06-01,47.009998,49.540001,46.029999,49.520000,39.535248,11872400,,
2012-07-01,49.740002,50.169998,47.779999,49.580002,39.749668,10018800,,
2012-08-01,49.889999,52.000000,48.619999,51.099998,40.968285,8353100,,
2012-09-01,51.060001,54.209999,50.700001,52.180000,41.834152,9921600,,
2012-10-01,52.400002,53.419998,51.349998,51.750000,41.651993,6014800,,
2012-11-01,51.880001,52.810001,49.790001,52.410000,42.183208,10104800,,
2012-12-01,52.680000,54.290001,51.930000,53.320000,42.915642,14992900,,
2013-01-01,54.369999,57.090000,54.110001,56.790001,45.947014,19365800,,
2013-02-01,57.169998,58.279999,56.070000,57.340000,46.391991,10836400,,
2013-03-01,57.209999,59.750000,56.849998,59.639999,48.252842,9724300,,
2013-04-01,59.700001,60.700001,58.029999,60.650002,49.236668,22813900,,
2013-05-01,60.509998,64.550003,60.009998,62.279999,50.559929,14937700,,
2013-06-01,62.410000,63.209999,59.180000,61.270000,49.739994,17762700,,
2013-07-01,61.650002,65.199997,61.240002,64.720001,52.749561,16514100,,
2013-08-01,65.300003,65.809998,62.650002,62.830002,51.209122,14325900,,
2013-09-01,63.529999,67.269997,62.889999,65.199997,53.140770,18824000,,
2013-10-01,65.309998,68.720001,63.790001,67.989998,55.595161,24111600,,
2013-11-01,68.209999,69.790001,67.370003,69.500000,56.829884,12298300,,
2013-12-01,69.529999,71.349998,68.230003,71.250000,58.260857,14026400,,
2014-01-01,71.040001,71.449997,68.320000,69.139999,56.737900,22577200,,
2014-02-01,68.989998,73.139999,67.230003,72.830002,59.765972,18217400,,
2014-03-01,72.260002,73.870003,71.589996,72.989998,59.897285,15199800,,
2014-04-01,73.290001,74.300003,70.629997,73.269997,60.359486,19230700,,
2014-05-01,73.269997,74.870003,72.400002,74.849998,61.661079,18227300,,
2014-06-01,74.959999,76.900002,74.580002,76.709999,63.193375,11328300,,
2014-07-01,76.870003,77.500000,74.910004,74.919998,61.944641,12907900,,
2014-08-01,74.800003,78.089996,74.019997,78.070000,64.549118,15425500,,
2014-09-01,78.209999,78.480003,75.540001,75.790001,62.663975,18703800,,
2014-10-01,75.730003,78.190002,70.010002,78.080002,64.779991,36171300,,
2014-11-01,78.260002,80.580002,77.370003,80.160004,66.505684,17489700,,
2014-12-01,79.820000,81.379997,76.830002,80.050003,66.414413,29065700,,
2015-01-01,80.379997,80.550003,76.849998,77.709999,64.743439,31674500,,
2015-02-01,78.040001,82.860001,77.160004,82.160004,68.450920,23150600,,
2015-03-01,82.269997,82.620003,79.589996,81.050003,67.526138,22544700,,
2015-04-01,80.989998,82.910004,80.330002,81.379997,68.072746,24398500,,
2015-05-01,81.570000,83.150002,80.760002,81.970001,68.566284,19475900,,
2015-06-01,82.250000,82.760002,79.540001,79.800003,66.751144,24369400,,
2015-07-01,80.519997,81.480003,78.660004,80.570000,67.656029,19281500,,
2015-08-01,80.589996,81.050003,71.389999,76.169998,63.961243,35519200,,
2015-09-01,74.419998,78.239998,71.610001,73.559998,61.769596,23440300,,
2015-10-01,73.599998,79.190002,72.330002,78.699997,66.363068,17403100,,
2015-11-01,78.910004,80.169998,76.250000,78.940002,66.565506,14777500,,
2015-12-01,79.160004,79.690002,74.779999,76.639999,64.626053,24355400,,
2016-01-01,75.400002,76.080002,66.940002,72.379997,61.304554,41494000,,
2016-02-01,71.830002,74.089996,67.349998,73.099998,61.914394,28557900,,
2016-03-01,73.709999,78.900002,73.419998,78.529999,66.513481,26135500,,
2016-04-01,78.080002,81.110001,76.959999,79.510002,67.690819,17767100,,
2016-05-01,79.720001,80.860001,77.389999,80.589996,68.610268,15360700,,
2016-06-01,80.250000,82.010002,75.790001,80.349998,68.405960,23112400,,
2016-07-01,80.339996,83.930000,79.000000,83.680000,71.408394,13850500,,
2016-08-01,83.639999,84.900002,82.150002,83.809998,71.519318,14812900,,
2016-09-01,83.849998,84.599998,81.529999,83.589996,71.331589,19521600,,
